run_id,bundle_id,dataset_id,final_claim,sentinel_code,present,severity,count,scope,evidence
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,E2-PI,HARDWARE_UNMEASURED,True,warning,1,run,metadata-only package; no embedded hardware latency or energy measurement
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,E2-PI,PREDICTION_MISSING,False,none,0,none,always-negative predictions are defined for all test recording time
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,E2-PI,PATIENT_LEAKAGE,False,none,0,none,test cases are disjoint by subject group; chb01 and chb21 are kept together
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,E2-PI,TEMPORAL_LEAKAGE,False,none,0,none,fixed patient-independent split; no threshold uses test labels
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,E2-PI,LABEL_UNAUDITED,False,none,0,none,official CHB-MIT summaries provide onset and end annotations
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,E2-PI,PREDICTION_MISSING,False,none,0,none,all selected EDF windows receive a deterministic threshold prediction
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,E2-PI,PATIENT_LEAKAGE,False,none,0,none,train and test subjects are disjoint
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,E2-PI,TEMPORAL_LEAKAGE,False,none,0,none,threshold is selected on train windows only
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,E2-PI,FAR_EXPLOSION,False,none,0,none,false alarms per 24h = 0.0
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,E2-PI,HARDWARE_UNMEASURED,True,warning,1,run,waveform baseline is not measured on target IoT hardware
early_warning_post_event_failure_demo,early_warning_post_event_failure_w:early_warning_post_event_failure_demo,pilot_t1_eeg,E1,POST_EVENT_ALARM,True,major,9,run,"nine counted warning successes occur after seizure onset; these are detections, not valid early warnings"
early_warning_post_event_failure_demo,early_warning_post_event_failure_w:early_warning_post_event_failure_demo,pilot_t1_eeg,E1,FAR_EXPLOSION,False,none,0,none,false alarm burden is not the blocking failure in this example
early_warning_post_event_failure_demo,early_warning_post_event_failure_w:early_warning_post_event_failure_demo,pilot_t1_eeg,E1,PATIENT_LEAKAGE,False,none,0,none,leave-one-subject-out grouping has no subject overlap
early_warning_post_event_failure_demo,early_warning_post_event_failure_w:early_warning_post_event_failure_demo,pilot_t1_eeg,E1,TEMPORAL_LEAKAGE,False,none,0,none,no test-label threshold selection and no temporal overlap
early_warning_valid_demo,early_warning_valid_w:early_warning_valid_demo,pilot_t1_eeg,E2-PI,POST_EVENT_ALARM,False,none,0,none,all counted warning successes occur before seizure onset and respect the declared warning horizon
early_warning_valid_demo,early_warning_valid_w:early_warning_valid_demo,pilot_t1_eeg,E2-PI,FAR_EXPLOSION,False,none,0,none,false alarm burden remains inside the demonstration budget
early_warning_valid_demo,early_warning_valid_w:early_warning_valid_demo,pilot_t1_eeg,E2-PI,PATIENT_LEAKAGE,False,none,0,none,leave-one-subject-out grouping has no subject overlap
early_warning_valid_demo,early_warning_valid_w:early_warning_valid_demo,pilot_t1_eeg,E2-PI,TEMPORAL_LEAKAGE,False,none,0,none,no test-label threshold selection and no temporal overlap
embedded_no_hardware_demo,embedded_no_hardware_demo:embedded_no_hardware_demo,pilot_t1_eeg,E1,HARDWARE_UNMEASURED,True,major,1,run,result requests embedded viability but no measured target hardware report is supplied
external_requested_e4_demo,external_requested_e4_demo:external_requested_e4_demo,pilot_t1_eeg,E3,PATIENT_LEAKAGE,False,none,0,none,no patient overlap
external_requested_e4_demo,external_requested_e4_demo:external_requested_e4_demo,pilot_t1_eeg,E3,TEMPORAL_LEAKAGE,False,none,0,none,no temporal overlap
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,E3,PATIENT_LEAKAGE,False,none,0,none,external dataset split has no patient overlap
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,E3,TEMPORAL_LEAKAGE,False,none,0,none,external dataset split has no temporal overlap
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,E3,SPLIT_NONCOMPLIANT,False,none,0,none,split manifest declares external dataset validation
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,E1,PATIENT_LEAKAGE,True,critical,3,run,held-out patient identifiers overlap with training fold
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,E1,TEMPORAL_LEAKAGE,False,none,0,none,no direct temporal overlap detected
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,E1,SPLIT_NONCOMPLIANT,True,critical,1,run,split violates preregistered patient-independent policy
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,E1,FAR_EXPLOSION,False,none,0,none,reported FAR is low but invalid because leakage blocks interpretation
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,E1,FAR_EXPLOSION,True,major,1314,run,"model fires repeatedly on interictal time, producing 216 false alarms per 24h despite high event sensitivity"
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,E1,PREDICTION_MISSING,False,none,0,none,predictions are available for all test windows
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,E1,PATIENT_LEAKAGE,False,none,0,none,leave-one-subject-out grouping has no subject overlap
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,E1,TEMPORAL_LEAKAGE,False,none,0,none,no test-label threshold selection and no temporal overlap
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,E2-PD,DEVICE_MISSINGNESS,True,warning,1,dataset,"device metadata, calibration, and absolute synchronization are incomplete, but missingness is explicitly reported and evaluation is restricted to matched prediction-coverable events"
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,E2-PD,DENOMINATOR_RESTRICTION,True,warning,1,dataset,metrics use 54 matched prediction-coverable test events from 768 source events and 510 matched events
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,E2-PD,PATIENT_LEAKAGE,False,none,0,none,Gate C frozen-only benchmark guard passed
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,E2-PD,TEMPORAL_LEAKAGE,False,none,0,none,no temporal leakage reported in frozen benchmark guard
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,E2-PD,LABEL_UNAUDITED,False,none,0,none,label audit status in the frozen benchmark row is sampled_human_attested; EpiBench maps this conservatively to clinical_record_verified_no_precise_timing
