dataset_id,dataset_path,declared_tier,effective_tier,mts_mean,mts_item_floor,missing_core_mts_items,core_complete,setting,label_audit,mts_acquisition_protocol,mts_acquisition_protocol_is_core,mts_label_quality,mts_label_quality_is_core,mts_leakage_audit,mts_leakage_audit_is_core,mts_local_cohort_completeness,mts_local_cohort_completeness_is_core,mts_missingness,mts_missingness_is_core,mts_raw_to_processed_trace,mts_raw_to_processed_trace_is_core,mts_source_official,mts_source_official_is_core,mts_synchronization,mts_synchronization_is_core,dsi_artifact_stress,dsi_external_validation,dsi_forecasting_relevance,dsi_monitoring_duration,dsi_patient_diversity,dsi_seizure_type_diversity,dsi_sensor_realism,dsi_setting_diversity,dsi_wearable_stress
chbmit_patient_independent_d,examples/epibench/chbmit_patient_independent_d/dataset_card.yaml,T1,T1,2.714,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,3,False,,False,2,True,3,True,3,True,2,True,,0,,,2,1,3,0,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
msg_gate_c_frozen_f,examples/epibench/msg_gate_c_frozen_f/dataset_card.yaml,T2,T2,2.143,1,,True,home,clinical_record_verified_no_precise_timing,2,True,2,True,3,False,,False,1,True,3,True,3,True,1,True,,0,3,3,1,,,1,
msg_preliminary_f,examples/epibench/msg_preliminary_f/dataset_card.yaml,T2,T3,1.143,0,synchronization;missingness,False,home,proxy_or_device_label,1,True,1,True,2,False,,False,,True,2,True,2,True,,True,,0,3,3,1,,,2,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
pilot_t1_eeg,examples/epibench/pilot_t1_eeg/dataset_card.yaml,T1,T1,2.833,2,,True,hospital,expert_adjudicated_onset_offset,3,True,3,True,,False,,False,2,True,3,True,3,True,3,True,2,0,,,2,2,,1,
seizeit2_preliminary_f,examples/epibench/seizeit2_preliminary_f/dataset_card.yaml,T3,T3,0.857,0,acquisition_protocol;synchronization,False,hospital,unaudited_or_unknown,,True,1,True,,False,0,False,1,True,1,True,3,True,,True,,0,,,0,0,,1,1
