file,line,category,phrase,classification,severity,action,context
configs/epibench/conformance_suite_v1.yaml,48,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,expected_final_claim: E2-PI     expected_badges:       - EpiBench-Dataset-T1       - EpiBench-Claim-E2-PI       - EpiBench-Leakage-Checked     expected_forbidden_phrases:       - real-time       - on-device
configs/epibench/conformance_suite_v1.yaml,49,edge_or_realtime,on-device,bounded,bounded,No action if context remains explicitly anti-overclaim.,expected_badges:       - EpiBench-Dataset-T1       - EpiBench-Claim-E2-PI       - EpiBench-Leakage-Checked     expected_forbidden_phrases:       - real-time       - on-device       - edge-ready
configs/epibench/conformance_suite_v1.yaml,50,edge_or_realtime,edge-ready,bounded,bounded,No action if context remains explicitly anti-overclaim.,- EpiBench-Dataset-T1       - EpiBench-Claim-E2-PI       - EpiBench-Leakage-Checked     expected_forbidden_phrases:       - real-time       - on-device       - edge-ready     expected_effective_tier: T1
configs/epibench/conformance_suite_v1.yaml,121,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,result_bundle: examples/epibench/embedded_no_hardware_demo/result_bundle.yaml     expected_final_claim: E1     expected_badges:       - EpiBench-Dataset-T1       - EpiBench-Claim-E1     expected_forbidden_phrases:       - real-time       - on-device
configs/epibench/conformance_suite_v1.yaml,122,edge_or_realtime,on-device,bounded,bounded,No action if context remains explicitly anti-overclaim.,expected_final_claim: E1     expected_badges:       - EpiBench-Dataset-T1       - EpiBench-Claim-E1     expected_forbidden_phrases:       - real-time       - on-device       - edge-ready
configs/epibench/conformance_suite_v1.yaml,123,edge_or_realtime,edge-ready,bounded,bounded,No action if context remains explicitly anti-overclaim.,expected_badges:       - EpiBench-Dataset-T1       - EpiBench-Claim-E1     expected_forbidden_phrases:       - real-time       - on-device       - edge-ready     expected_effective_tier: T1
configs/epibench/epibench_v1.yaml,105,clinical_or_regulatory,clinical approval,bounded,bounded,No action if context remains explicitly anti-overclaim.,"rank: 4     label: external_or_multisite_generalization     meaning: external dataset, multisite, or leave-site-out evidence supports a bounded generalization claim   E4:     rank: 5     label: prospective_clinical_grade_evidence     meaning: prospective protocol evidence exists, but still is not regulatory or clinical approval"
configs/epibench/epibench_v1.yaml,195,edge_or_realtime,on-device,bounded,bounded,No action if context remains explicitly anti-overclaim.,"weight: 0.10       required: true       interpretation: detection delay, streaming feasibility, and hardware runtime where claimed     embedded_viability:       weight: 0.10       required: false       interpretation: CPU, RAM, flash, energy, connectivity, and on-device feasibility     calibration:"
configs/epibench/epibench_v1.yaml,236,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,blocks_run_complete: false     requires_failure_trace: true   LATENCY_BUDGET_EXCEEDED:     blocks_badges:       - EpiBench-Edge-Measured     blocks_claim_phrases:       - real-time       - edge-ready
configs/epibench/epibench_v1.yaml,237,edge_or_realtime,edge-ready,bounded,bounded,No action if context remains explicitly anti-overclaim.,requires_failure_trace: true   LATENCY_BUDGET_EXCEEDED:     blocks_badges:       - EpiBench-Edge-Measured     blocks_claim_phrases:       - real-time       - edge-ready   POST_EVENT_ALARM:
configs/epibench/epibench_v1.yaml,273,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"not automatically block E2-PD/E2-PI, but it must constrain wording and       appear in the claim report.   HARDWARE_UNMEASURED:     blocks_badges:       - EpiBench-Edge-Measured     blocks_claim_phrases:       - real-time       - on-device"
configs/epibench/epibench_v1.yaml,274,edge_or_realtime,on-device,bounded,bounded,No action if context remains explicitly anti-overclaim.,appear in the claim report.   HARDWARE_UNMEASURED:     blocks_badges:       - EpiBench-Edge-Measured     blocks_claim_phrases:       - real-time       - on-device       - edge-ready
configs/epibench/epibench_v1.yaml,275,edge_or_realtime,edge-ready,bounded,bounded,No action if context remains explicitly anti-overclaim.,HARDWARE_UNMEASURED:     blocks_badges:       - EpiBench-Edge-Measured     blocks_claim_phrases:       - real-time       - on-device       - edge-ready
configs/epibench/epibench_v1.yaml,317,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"rule: E4 requires prospective_multisite split evidence and clinical-grade prospective protocol documentation     failure_claim: E3   - id: leakage_blocks_e2_plus     rule: patient or temporal leakage sentinel lowers max claim to E1     failure_claim: E1   - id: no_realtime_without_hardware     rule: real-time, edge-ready, or on-device wording requires EpiBench-Edge-Measured     failure_claim: unchanged_but_phrase_forbidden"
configs/epibench/epibench_v1.yaml,317,edge_or_realtime,on-device,bounded,bounded,No action if context remains explicitly anti-overclaim.,"rule: E4 requires prospective_multisite split evidence and clinical-grade prospective protocol documentation     failure_claim: E3   - id: leakage_blocks_e2_plus     rule: patient or temporal leakage sentinel lowers max claim to E1     failure_claim: E1   - id: no_realtime_without_hardware     rule: real-time, edge-ready, or on-device wording requires EpiBench-Edge-Measured     failure_claim: unchanged_but_phrase_forbidden"
configs/epibench/epibench_v1.yaml,317,edge_or_realtime,edge-ready,bounded,bounded,No action if context remains explicitly anti-overclaim.,"rule: E4 requires prospective_multisite split evidence and clinical-grade prospective protocol documentation     failure_claim: E3   - id: leakage_blocks_e2_plus     rule: patient or temporal leakage sentinel lowers max claim to E1     failure_claim: E1   - id: no_realtime_without_hardware     rule: real-time, edge-ready, or on-device wording requires EpiBench-Edge-Measured     failure_claim: unchanged_but_phrase_forbidden"
configs/epibench/epibench_v1.yaml,323,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"rule: real-time, edge-ready, or on-device wording requires EpiBench-Edge-Measured     failure_claim: unchanged_but_phrase_forbidden   - id: failure_trace_required     rule: absence of a failure trace blocks EpiBench-Run-Complete and lowers final claim to E1     failure_claim: E1  sota_registry_minimum:   - category: seizure_taxonomy"
configs/epibench/epibench_v1.yaml,345,clinical_or_regulatory,clinically certified,bounded,bounded,No action if context remains explicitly anti-overclaim.,- category: trustworthy_ai     preferred_source: FUTURE-AI     relationship: MAP  anti_overclaim:   forbidden:     - clinically certified     - clinically approved
configs/epibench/epibench_v1.yaml,346,clinical_or_regulatory,clinically approved,bounded,bounded,No action if context remains explicitly anti-overclaim.,preferred_source: FUTURE-AI     relationship: MAP  anti_overclaim:   forbidden:     - clinically certified     - clinically approved     - detects epilepsy
configs/epibench/epibench_v1.yaml,349,scope_or_generality,generalizable,bounded,bounded,No action if context remains explicitly anti-overclaim.,anti_overclaim:   forbidden:     - clinically certified     - clinically approved     - detects epilepsy     - ready for clinical deployment     - generalizable without external validation     - real-time without hardware latency measurement
configs/epibench/epibench_v1.yaml,350,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,forbidden:     - clinically certified     - clinically approved     - detects epilepsy     - ready for clinical deployment     - generalizable without external validation     - real-time without hardware latency measurement     - low false positives without false alarms per 24h
configs/epibench/sota_registry_v1.yaml,1,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"schema_version: epibench.sota_registry.v1 verified_on: ""2026-05-24"""
docs/EPIBENCH_CERTIFICATION_SOP.md,11,clinical_or_regulatory,clinical approval,bounded,bounded,No action if context remains explicitly anti-overclaim.,"This SOP defines how an external group certifies a result under EpiBench. It is written for reproducibility reviewers, not for marketing.  ## Certification Boundary  EpiBench certification is scientific certification of a result bundle under a versioned protocol. It is not:  - clinical approval; - regulatory approval;"
