angle_id,reviewer_attack,closure_status,residual_rejection_risk,primary_evidence,current_evidence,manuscript_control,true_closure_requirement,interpretation
Q1-01,"Too much protocol, not enough real proof.",external_dependency,medium_to_high,reports/epibench_real_evidence_progression/README.md,"Submission gate passed with 2 submission-grade packages; 4 real/provisional packages {'E2-PI': 2, 'E2-PD': 1, 'E1': 1}; 1 waveform-derived package(s) with claims {'E2-PI': 1}.",Do not claim clinical performance; present current packages as protocol evidence and require full-scale EEG evidence before stronger claims.,"Full-scale signal-derived EEG package, preferably CHB-MIT/TUSZ, with patient-independent event scoring and per-patient distributions.",Attack cannot be fully closed internally; it is converted into an explicit pre-submission dependency.
Q1-02,No third-party adoption or independent reproduction.,external_dependency,medium_to_high,reports/epibench_release_candidate/reproduction_result.json,release=passed; matched=4/4; external=pending_external_lab_run,Do not claim adoption; claim only one-command reproducibility from this checkout until an external lab submits a run.,At least one independent clean-checkout reproduction report from a lab not involved in EpiBench development.,Attack cannot be fully closed internally; it is converted into an explicit pre-submission dependency.
Q1-03,No independent clinical review.,external_dependency,medium_to_high,reports/epibench_clinical_review_packet/review_execution_manifest.yaml,clinical review packet exists=True,Do not state that clinical review is complete; keep clinical claim gates as proposed until signed forms are returned.,"Two independent reviewers, including clinical epilepsy/neurophysiology expertise, with adjudicated item-level MTS/DSI register.",Attack cannot be fully closed internally; it is converted into an explicit pre-submission dependency.
Q1-04,EpiBench reinvents SzCORE.,closed_by_evidence,low,reports/epibench_szcore_official_contract_report.md,1 SzCORE-bridge bundle is present; official smoke output present=True.,Describe EpiBench as a claim-gating layer that consumes official scoring outputs; never as an event scorer replacement.,"Preferably add a full real EEG official SzCORE run, but API-contract reinvention risk is closed.",Attack is materially answered by executable evidence.
Q1-05,Universal certification is overclaimed.,neutralized_by_scope,low_to_medium,docs/paper/EPIBENCH_NPJ_DIGITAL_MEDICINE_DRAFT.md,paper contains explicit certification boundary and bounded-claim language,"Use scientific claim eligibility under EpiBench, not universal clinical certification.",No external closure needed unless manuscript or badges reintroduce universal-certification wording.,Attack does not apply if the manuscript keeps the bounded scope.
Q1-06,MTS/DSI remain subjective.,external_dependency,medium_to_high,reports/epibench_clinical_review_packet/review_execution_manifest.yaml,Inter-reviewer demo status passed on 2 datasets; external review packet present=True.,Treat rubric stability as pending external review; do not claim institutional reproducibility yet.,Independent inter-reviewer agreement with no unresolved score difference greater than one point.,Attack cannot be fully closed internally; it is converted into an explicit pre-submission dependency.
Q1-07,Epi-Score weights are arbitrary.,closed_by_evidence,low,reports/epibench_weight_sensitivity/README.md,11 scenarios; max score-rank range 5; max claim-gated rank range 0.,Keep Epi-Score subordinate to claim gates; include sensitivity panel in main or supplementary results.,No external closure needed for v1; future community governance can revise weights prospectively.,Attack is materially answered by executable evidence.
Q1-08,No real target hardware evidence for edge or real-time claims.,neutralized_by_scope,low_to_medium,reports/epibench_hardware_measurement/local_hardware_report.json,local_measurement=True; edge_authorized=False; scope=local_reference_cpu_threshold_inference_only,"Keep local timing as reference only; forbid edge-ready, on-device, and real-time wording without target hardware.","Measure declared final model on target IoT hardware with p95 latency, RAM, and energy or remove embedded claim.",Attack does not apply if the manuscript keeps the bounded scope.
Q1-09,No prospective clinical evidence.,neutralized_by_scope,low_to_medium,docs/paper/EPIBENCH_NPJ_DIGITAL_MEDICINE_DRAFT.md,paper limits E4/prospective evidence and excludes clinical approval,"Present E4 as a future/prospective evidence class, not an achieved result.",Prospective multisite study or trial-grade evidence package.,Attack does not apply if the manuscript keeps the bounded scope.
Q1-10,"Detection, warning, forecasting, and embedded viability are too broad.",closed_by_evidence,low,reports/epibench_coverage_audit/protocol_use_case_coverage.csv,"Covered tracks: D, E, F, W; POST_EVENT_ALARM cases: 1.",Keep one primary track per result bundle and forbid pooled claims across D/W/F/E.,No external closure needed unless new tracks are added without separate metrics and claim gates.,Attack is materially answered by executable evidence.
